well_id,wellUse,As,Ca,Ra_Total,U
1995,Domestic,1,140,,1
1996,Livestock,,,,
1997,Domestic,,,,5
1999,Domestic,2,23,,1
2003,Domestic,1,130,,1
2009,Domestic,1,150,,1
2011,Domestic,1,140,,1
2023,Unknown,1,260,,1
2024,Unknown,1,240,,1
2027,Unknown,1,21,,1
2028,Livestock,2.739038205,60,,1
2029,Livestock,6,245,,1
2033,Domestic,0.995940473,,,2.480079533
2063,Other,,101,,
2064,Other,,8.5,,
2067,Livestock,29,27.5,,
2070,Livestock,1.78988701,,,3.169014634
2080,Livestock,4.7,43.2,1.975,11
2082,Unknown,,23,,
2083,Unknown,,89,,
2084,Unknown,,6,,
2085,Unknown,,64,,
2095,Livestock,,33,,
2096,Domestic,2.884762717,,,0.616488574
2099,Livestock,,142,,
2100,Domestic,,7.4,,
2101,Livestock,3.232871233,,,13.85473589
2112,Domestic,,4.3,,
2122,Domestic,1,115.2,4.39,2.5
2129,Livestock,,58,,
2130,Livestock,,29,,
2131,Livestock,,6.3,,
2152,Livestock,,27,,
2204,Other,,98,,
2209,Independent,,25,,
2210,Other,,30,,
2211,Other,40,26,,
2213,Unknown,,40,,
2263,Livestock,,22.2,,
2286,Livestock,,3,,
2400,Independent,6,13,,0.01
2476,Municipal,,44,,
2509,Unknown,1,146,,400
2554,Independent,1,49.5,,0.04
2560,Livestock,,,,1.791044776
2561,Livestock,,32,,
2562,Livestock,,,,19.40298507
2563,Livestock,,31,,
2564,Livestock,,,,
2565,Livestock,,,,1.074626866
2566,Livestock,,34,,
2568,Other,51,41,1.0749,69
2572,Domestic,13.8980268,,,1.75
2582,Domestic,,46,,0.776119403
2598,Domestic,,580,,17.91044776
2599,Municipal,,88,,
2600,Other,,,,
2601,Unknown,,,,
2602,Municipal,,92,,
2603,Domestic,,40,,
2609,Domestic,19.65057282,26.4,0.835,17.36957554
2619,Domestic,2.68908392,,,41.71467051
2626,Other,2.071612218,,,7.509089128
2629,Domestic,,60.5,,1.791044776
2645,Domestic,0.73,530,0.576,19
2661,Livestock,,76,,
2669,Unknown,49.96287999,,,115.764751
2674,Livestock,12.45144177,,,9.573121985
2679,Livestock,0.132914345,,,
2681,Domestic,1.666920303,,,4.667252442
2702,Domestic,,,,2.537313433
2738,Municipal,,,,1.149253731
2739,Municipal,,,,2.985074627
2742,Livestock,,,,0.820895522
2749,Other,1,40,,300
2752,Domestic,,2,,53.73134328
2753,Domestic,,21.5,,
2756,Domestic,,74,,
2758,Municipal,,28.5,,
2763,Domestic,,78,,
2768,Municipal,21,4.7,3.26,8.6
2769,Domestic,,86,,
2771,Unknown,,,,10.44776119
2774,Domestic,,91,,6.417910448
2779,Domestic,,42,,
2780,Livestock,,64,,
2781,Domestic,,74,,
2782,Domestic,,460,,
2784,Other,,,,
2794,Domestic,,8,,
2798,Domestic,,210,,
2806,Domestic,1,30,,
2810,Domestic,,73,,
2816,Other,,,,
2839,Domestic,,90.5,,
2840,Domestic,,49.5,,
2868,Livestock,,51,,
2877,Livestock,,90,,
2879,Unknown,,9,,
2920,Domestic,,5,,
2921,Livestock,,1,,
2937,Domestic,,,,
2938,Domestic,,,,
2941,Unknown,6.1,17.5,,4.594029851
2956,Unknown,0.085240545,,,17.46483313
2966,Domestic,,52,,12.98507463
3105,Independent,,99,,
3106,Unknown,,,,
3108,Independent,,9,,
3113,Domestic,,,,19.40298507
3116,Domestic,,91,,3.582089552
3126,Domestic,,61,,
3127,Other,,,,
3143,Domestic,,71,,
3144,Livestock,0.4,37.8,,
3157,Other,,69,,
3158,Municipal,,1.2,,
3159,Livestock,,,,3.731343284
3166,Domestic,0,12,,0.63
3167,Domestic,1,2.4,,0.02
3168,Unknown,1,2.7,,0.01
3170,Unknown,11.37696751,,,5.298014335
3172,Domestic,,48,,
3173,Unknown,,,,0.149253731
3181,Unknown,5.839659875,,,6.358237025
3190,Unknown,,,,
3196,Independent,,,,4.328358209
3276,Domestic,,80,,
3280,Domestic,,177,,
